,Player,Pos
836,Bang,ADC
837,Dread,Jungle
838,Fly,Middle
839,Kiin,Top
840,Lehends,Support
841,MapSSi,Support
842,BAO,ADC
843,Becca,Support
844,Kingen,Top
845,Pyosik,Jungle
846,SOLKA,Middle
847,BeryL,Support
848,Canyon,Jungle
849,Ghost,ADC
850,Khan,Top
851,ShowMaker,Middle
852,Chieftain,Jungle
853,Chieftain,Middle
854,Delight,Support
855,Hena,ADC
856,Hoya,Top
857,Lava,Middle
858,UmTi,Jungle
859,UmTi,Middle
860,Yaharong,Middle
861,Bdd,Middle
862,Clid,Jungle
863,Flawless,Jungle
864,Karis,Middle
865,Life,Support
866,Rascal,Top
867,Ruler,ADC
868,Arthur,Jungle
869,Chovy,Middle
870,Deft,ADC
871,DuDu,Top
872,Morgan,Top
873,Vsta,Support
874,yoHan,Jungle
875,Blank,Jungle
876,Bonnie,Jungle
877,Doran,Top
878,Dove,Middle
879,GIDEON,Jungle
880,HyBriD,ADC
881,Noah,ADC
882,Ucal,Middle
883,Zzus,Support
884,Croco,Jungle
885,Effort,Support
886,FATE,Middle
887,Leo,ADC
888,OnFleek,Jungle
889,Prince,ADC
890,Route,ADC
891,Summit,Top
